# narkamauka<TAB>taraskievica<TAB>title_be<TAB>revid_be<TAB>title_tarask<TAB>revid_tarask<TAB>similarity
#
# Sentence pairs mined from be.wikipedia.org and be-tarask.wikipedia.org by
# scripts/fetch_parallel_corpus.py. The two wikis are written independently, so
# these are not translations: they are sentences the aligner judged to be the same
# sentence (same token count, >=60% of tokens identical, a clear margin over the
# runner-up). The sample is therefore biased towards short, formulaic sentences.
#
# MEASUREMENT ONLY. Never read by lexicon building, stem mining or model training:
# it exists to measure recall, and a set you have fitted to measures nothing.
# Text is CC BY-SA 4.0; see parallel.README.md.
Аданталогія разглядае пытанні, звязаныя з анатоміяй, фізіялогіяй, паталогіяй і прафілактыкай захворванняў органаў жавання і падзі, разглядаючы іх у сувязі з агульным станам арганізму чалавека і сацыяльнымі ўмовамі яго існавання.	Аданталёгія разглядае пытаньні, зьвязаныя з анатоміяй, фізыялёгіяй, паталёгіяй і прафіляктыкай захворваньняў органаў жаваньня і падзі, разглядаючы іх у сувязі з агульным станам арганізму чалавека і сацыяльнымі ўмовамі ягонага існаваньня.	Аданталогія	4348209	Аданталёгія	2180876	0.655
Згодна розных падлікаў, падчас навучальнага году іх лічба складае каля 95 тысяч.	Згодна розных падлікаў, падчас навучальнага году іх колькасьць складае каля 95 тысячаў.	Люблін	5035968	Люблін	2674854	0.818
У Любліне існуе 45 звычайных аўтобусных ліній, 4 лініі сезонных аўтобусаў, 1 лінія школьных аўтобусаў і 9 бясплатных ліній да гіпермаркетаў.	У Любліне існуе 45 звычайных аўтобусных лініяў, 4 лініі сэзонных аўтобусаў, 1 лінія школьных аўтобусаў і 9 бясплатных лініяў да гіпэрмаркетаў.	Люблін	5035968	Люблін	2674854	0.765
Праз горад праходзіць чыгуначная лінія, якая злучае Варшаву з мяжой у Дарагуску і далей з Кіевам і Адэсай.	Праз горад праходзіць чыгуначная лінія, якая злучае Варшаву зь мяжой у Дарагуску і далей з Кіевам і Адэсай.	Люблін	5035968	Люблін	2674854	0.944
Дзве іншыя лініі выходзяць з Любліна ў напрамках: на поўдзень (да Пшэварска праз Сталёву-Волю) і на поўнач (да Лукава — сёння не выкарыстоўваецца для пасажырскіх перавозак).	Дзьве іншыя лініі выходзяць зь Любліна ў напрамках: на поўдзень (да Пшэварску праз Сталёву-Волю) і на поўнач (да Лукава — сёньня не выкарыстоўваецца для пасажырскіх перавозак).	Люблін	5035968	Люблін	2674854	0.840
Але большасць аўтобусаў ад’язжае з Галоўнага Аўтавакзала — Паўднёвы Аўтавакзал кантралюе адзінкі маршутаў да Свідніка і да іншых невялічкіх гарадоў на поўдні Люблінскага ваяводства.	Але большасьць аўтобусаў ад’яжджае з Галоўнага аўтавакзалу — Паўдёвы аўтавакзал кантралюе адзінкі маршутаў да Сьвідніку і да іншых невялічкіх гарадоў на поўдні Люблінскага ваяводзтва.	Люблін	5035968	Люблін	2674854	0.739
Недалёка ад горада існуюць два маленькія аэрадромы для невялікага авіяруху.	Недалёка ад гораду існуюць два маленькія аэрадромы для невялікага авіяруху.	Люблін	5035968	Люблін	2674854	0.900
Другі аэрадром — каля Свідніка.	Другі аэрадром — каля Сьвідніку.	Люблін	5035968	Люблін	2674854	0.750
У 2016—2017 гадах выступаў у Вышэйшай лізе чэмпіянату Беларусі.	У 2016—2017 гадах выступаў у Найвышэйшай лізе чэмпіянату Беларусі.	ФК Крумкачы Мінск	4819674	Крумкачы Менск	2491095	0.875
Захаваўшы лідараў, каманда ўзмацнілася некалькімі вопытнымі ігракамі, а таксама шэрагам легіянераў.	Захаваўшы лідэраў, каманда ўзмацнілася некалькімі дасьведчанымі гульцамі, а таксама шэрагам легіянэраў.	ФК Крумкачы Мінск	4819674	Крумкачы Менск	2491095	0.636
У першай палове сезона «Крумкачы» ішлі ў верхняй палове табліцы, прэтэндуючы на медалі, былі атрыманы перамогі над фаварытамі чэмпіянату — салігорскім «Шахцёрам» (2:0) і мінскім «Дынама» (4:1).	У першай палове сэзону «Крумкачы» ішлі ў верхняй палове табліцы, прэтэндуючы на мэдалі, былі атрыманы перамогі над фаварытамі чэмпіянату — салігорскім «Шахцёрам» (2:0) і менскім «Дынама» (4:1).	ФК Крумкачы Мінск	4819674	Крумкачы Менск	2491095	0.875
У кастрычніку «Крумкачы» пакінуў галоўны трэнер Алег Дулуб, які ўзначаліў клуб украінскай Прэм’ер-лігі «Карпаты».	У кастрычніку «Крумкачы» пакінуў галоўны трэнэр Алег Дулуб, які ўзначаліў клюб украінскай Прэм’ер-лігі «Карпаты».	ФК Крумкачы Мінск	4819674	Крумкачы Менск	2491095	0.857
Клуб добра ўзмацніўся, запрасіўшы ігракоў з вопытам выстапаў у Вышэйшай лізе, дадаўшы да іх некалькі маладых выканаўцаў, таксама вярнуўся шэраг ігракоў былых «Крумкачоў».	Клюб добра ўзмацніўся, запрасіўшы гульцоў з досьведам выстапаў у Найвышэйшай лізе, дадаўшы да іх некалькі маладых выканаўцаў, таксама вярнуўся шэраг гульцоў былых «Крумкачоў».	ФК Крумкачы Мінск	4819674	Крумкачы Менск	2491095	0.783
У маі 2019 года быў звольнены галоўны трэнер Аляксей Кучук, на яго месца быў прызначаны Сяргей Кузьмініч.	У траўні 2019 году быў звольнены галоўны трэнэр Аляксей Кучук, на ягонае месца быў прызначаны Сяргей Кузьмініч.	ФК Крумкачы Мінск	4819674	Крумкачы Менск	2491095	0.750
Каманда захавала лідараў, падмацаваўшыся таксама шэрагам маладых гульцоў.	Каманда захавала лідэраў, падмацаваўшыся таксама шэрагам маладых гульцоў.	ФК Крумкачы Мінск	4819674	Крумкачы Менск	2491095	0.875
У чэрвені Дулуб пакінуў клуб, некаторы час камандай кіраваў яго памочнік Сяргей Казека, а ў ліпені новы галоўным трэнерам стаў Алег Кубараў, які да таго быў спартыўным дырэктарам клуба.	У чэрвені Дулуб пакінуў клюб, некаторы час камандай кіраваў ягоны памочнік Сяргей Казека, а ў ліпені новы галоўным трэнэрам стаў Алег Кубараў, які да таго быў спартовым дырэктарам клюбу.	ФК Крумкачы Мінск	4819674	Крумкачы Менск	2491095	0.828
У выніку 3 лютага 2022 года клуб накіраваў у АБФФ ліст з адмовай ад удзелу ў Першай лізе ў новым сезоне і заявіў аб пераходзе ў Другую лігу.	У выніку 3 лютага 2022 году клуб накіраваў у АБФФ ліст з адмовай ад удзелу ў Першай лізе ў новым сэзоне і заявіў аб пераходзе ў Другую лігу.	ФК Крумкачы Мінск	4819674	Крумкачы Менск	2491095	0.923
Знаходзяцца за 15 км на паўднёвы захад ад Рудні, за 8 км ад граніцы з Беларуссю.	Знаходзяцца за 15 км на паўднёвы захад ад Рудні, за 8 км ад граніцы зь Беларусьсю.	Любавічы (Руднянскі раён)	5137629	Любавічы	2469174	0.857
У вайну 1812 года ў Любавічах 2 тыдні стаяў корпус маршала напалеонаўскага войска Груні.	У Вайну 1812 году ў Любавічах 2 тыдні стаяў корпус маршала напалеонаўскага войска Груні.	Любавічы (Руднянскі раён)	5137629	Любавічы	2469174	0.917
Любавічы сталі буйным рэлігійным цэнтрам: тут паўстала новая плынь у іўдаізме — Хабад (Хабад-Любавіч, Любавіцкі хасідызм).	Любавічы сталі буйным рэлігійным цэнтрам: тут паўстала новая плынь у юдаізьме — Хабад (Хабад-Любавіч, Любавіцкі хасідызм).	Любавічы (Руднянскі раён)	5137629	Любавічы	2469174	0.933
У 1924 годзе Любавіцкую воласць (разам з Руднянскай і Мікулінскай) не вярнулі БССР.	У 1924 годзе Любавіцкую воласьць (разам з Руднянскай і Мікулінскай) не вярнулі БССР.	Любавічы (Руднянскі раён)	5137629	Любавічы	2469174	0.917
У 2017 годзе на дэбютным турніры Вялікага Шлема ў другім коле выбыла з барацьбы.	У 2017 року ў дэбютным турніры Вялікага Шлему ў другім коле выбыла з барацьбы.	Арына Сяргееўна Сабаленка	5200133	Арына Сабаленка	2629730	0.769
Пасля гэтага Арына Сабаленка ўпершыню ў сваёй кар’еры ўвайшла ў топ-100 сусветнага тэніснага рэйтынгу і стала першай ракеткай Беларусі.	Пасьля гэтага Арына Сабаленка ўпершыню ў сваёй кар’еры ўвайшла ў топ-100 сусьветнага тэніснага рэйтынгу і стала першай ракеткай Беларусі.	Арына Сяргееўна Сабаленка	5200133	Арына Сабаленка	2629730	0.895
Пасля перамогі на адкрытым чэмпіянаце Мумбаі Арына Сабаленка скончыла сезон на 73-й пазіцыі рэйтынгу.	Пасьля перамогі на адкрытым чэмпіянаце Мумбаі Арына Сабаленка скончыла сэзон на 73-й пазыцыі рэйтынгу.	Арына Сяргееўна Сабаленка	5200133	Арына Сабаленка	2629730	0.786
У красавіку 2018 года Арына Сабаленка ўпершыню ў кар’еры ўвайшла ў топ-50 сусветнага рэйтынгу.	У красавіку 2018 году Арына Сабаленка ўпершыню ў кар’еры ўвайшла ў топ-50 сусьветнага рэйтынгу.	Арына Сяргееўна Сабаленка	5200133	Арына Сабаленка	2629730	0.846
Гэта адбылося пасля ўдалага выступу на турніры ў швейцарскім Лугана, дзе беларуска дайшла да фіналу. 25 жніўня 2018 года Арына Сабаленка заваявала першы ў кар’еры тытул на турнірах прэм’ер-узроўню.	Гэта адбылося пасьля ўдалага выступу на турніры ў швайцарскім Люгана, дзе беларуска дайшла да фіналу. 25 жніўня 2018 року Арына Сабаленка заваявала першы ў кар’еры тытул на турнірах прэм’ер-узроўню.	Арына Сяргееўна Сабаленка	5200133	Арына Сабаленка	2629730	0.852
У фінальным паядынку ў Нью-Хэйвене (ЗША) яна перайграла іспанку Карлу Суарэс Навара.	У фінальным паядынку ў Нью-Гэйвэне (ЗША) яна перайграла гішпанку Карлу Суарэс Навара.	Арына Сяргееўна Сабаленка	5200133	Арына Сабаленка	2629730	0.833
Пасля гэтага беларуска трапіла ў топ-20 сусветнага рэйтынгу.	Пасьля гэтага беларуска трапіла ў топ-20 сусьветнага рэйтынгу.	Арына Сяргееўна Сабаленка	5200133	Арына Сабаленка	2629730	0.750
У верасні беларуская тэнісістка здабыла перамогу на яшчэ адным прэм’ер-турніры ва Ухані, цягам якога перамагла 6-ю тэнісістку свету Эліну Світоліну.	У верасьні беларуская тэнісістка атрымала перамогу на яшчэ адным прэм’ер-турніры ва Ўхані, цягам якога перамагла 6-ю тэнісістку сьвету Эліну Сьвітоліну.	Арына Сяргееўна Сабаленка	5200133	Арына Сабаленка	2629730	0.750
На адкрытым чэмпіянаце Кітая выйшла ў чвэрцьфінал.	На адкрытым чэмпіянаце Кітаю выйшла ў чвэрцьфінал.	Арына Сяргееўна Сабаленка	5200133	Арына Сабаленка	2629730	0.857
Праз хваробу Арына Сабаленка адмовілася ад удзелу ў ВТБ Кубку Крамля.	З-за хваробы Арына Сабаленка адмовілася ад удзелу ў ВТБ Кубку Крамля.	Арына Сяргееўна Сабаленка	5200133	Арына Сабаленка	2629730	0.818
Жаночая тэнісная асацыяцыя прызнала Арыну Сабаленка «Навічком года» паводле вынікаў 2018 года.	Жаночая тэнісная асацыяцыя прызнала Арыну Сабаленка «Пачаткоўцам году» паводле вынікаў 2018 году.	Арына Сяргееўна Сабаленка	5200133	Арына Сабаленка	2629730	0.727
У студзені 2019 года Арына Сабаленка перамагла на чэмпіянаце ў Шэньчжэні.	У студзені 2019 году Арына Сабаленка перамагла на чэмпіянаце ў Шэньчжэні.	Арына Сяргееўна Сабаленка	5200133	Арына Сабаленка	2629730	0.900
Наняла новага трэнера па фізічнай падрыхтоўцы — амерыканца Джэйсана Стэйсі.	Наняла новага трэнэра па фізычнай падрыхтоўцы — амэрыканца Джэйсана Стэйсі.	Арына Сяргееўна Сабаленка	5200133	Арына Сабаленка	2629730	0.667
На Адкрытым чэмпіянаце Францыі дайшла толькі да другога кола, пацярпеўшы паражэнне ад Аманды Анісімавай.	На Адкрытым чэмпіянаце Францыі дайшла толькі да другога кола, атрымаўшы паразу ад Аманды Анісімавай.	Арына Сяргееўна Сабаленка	5200133	Арына Сабаленка	2629730	0.857
У студзені 2020 года саступіла Крысціне Плішкавай у другім коле турніра ў Шэньчжэні і не здолела абараніць тытул.	У студзені 2020 году саступіла Крыстыне Плішкавай у другім коле турніра ў Шэньчжэні і ня здолела абараніць тытул.	Арына Сяргееўна Сабаленка	5200133	Арына Сабаленка	2629730	0.824
Гэта ўзыходжанне стала адзіным, на якім Кукучка карыстаўся кіслародам.	Гэта ўзыходжаньне стала адзіным, падчас якога Кукучка карыстаўся кіслародам.	Ежы Кукучка	4212914	Ежы Кукучка	2565304	0.667
Кукучка быў лідарам экспедыцыі і сам падняўся на вяршыню на наступны дзень.	Кукучка быў лідэрам экспэдыцыі і сам узьняўся на вяршыню на наступны дзень.	Ежы Кукучка	4212914	Ежы Кукучка	2565304	0.750
Улетку 1985 года з камандай здзейсніў першапраход па Паўднёва-Усходнім грэбені Нанга Парбат. 11 студзеня 1986 года Кукучка ў пары з Кшыштафам Веліцкі падняўся на Канчэнджангу па класічным маршруце.	Улетку 1985 году з камандай зьдзейсьніў першапраход па Паўднёва-ўсходнім грэбені Нанга Парбат. 11 студзеня 1986 году Кукучка ў пары з Кшыштафам Веліцкім узьняўся на Канчэнджангу па клясычным маршруце.	Ежы Кукучка	4212914	Ежы Кукучка	2565304	0.720
У 1986 года Кукучка і Піятроўскі прайшлі маршрут па Паўднёвай сцяне К2.	У 1986 году Кукучка і Піятроўскі прайшлі маршрут па Паўднёвай сьцяне К2.	Ежы Кукучка	4212914	Ежы Кукучка	2565304	0.818
На спуску з вяршыні па рабру Абруцкага Піятроўскі сарваўся і загінуў. 10 лістапада 1986 года з напарнікам прайшоў маршрут па Паўночна-Усходняй сцяне Манаслу — зноў першапраходжанне. 3 лютага 1987 года падняўся на вяршыню Анапурны па Паўночнай сцяне.	На спуску зь вяршыні па рабру Абруцкага Піятроўскі сарваўся і загінуў. 10 лістапада 1986 году з напарнікам прайшоў маршрут па Паўночна-ўсходняй сьцяне Манаслу — зноў першапраходжаньне. 3 лютага 1987 году падняўся на вяршыню Анапурны па Паўночнай сьцяне.	Ежы Кукучка	4212914	Ежы Кукучка	2565304	0.781
У верасні таго ж года Кукучка і Хайцэр здзейснілі першапраход па Усходнім рабры Шышабангмы.	У верасьні таго ж году Кукучка і Хайцэр зьдзейсьнілі першапраход па Ўсходнім рабры Шышабангмы.	Ежы Кукучка	4212914	Ежы Кукучка	2565304	0.714
Праз некалькі месяцаў яму і Райнхольду Меснеру ўручылі Сярэбраныя Алімпійскія медалі за праходжанне ўсіх васьмітысячнікаў планеты.	Празь некалькі месяцаў яму і Райнхольду Мэсьнэру ўручылі Срэбраныя Алімпійскія мэдалі за праходжаньне ўсіх васьмітысячнікаў плянэты.	Ежы Кукучка	4212914	Ежы Кукучка	2565304	0.625
Чыгуначная станцыя на лініі Конаша—Архангельск, за 342 км на поўдзень ад Архангельска.	Чыгуначаня станцыя на лініі Каноша—Архангельск, за 342 км на поўдзень от Архангельска.	Няндама	4862035	Няндама	1686161	0.750
У абароце былі банкноты наміналам у 1, 2, 5, 10, 25, 50, 100 і 500 кронаў, манеты наміналам у 5, 10, 20 і 50 сентаў, а таксама 1 і 5 кронаў.	У абароце былі банкноты наміналам у 1, 2, 5, 10, 25, 50, 100 і 500 кронаў, манэты наміналам у 5, 10, 20 і 50 сэнтаў, а таксама 1 і 5 кронаў.	Эстонская крона	4783364	Эстонская крона	2579535	0.882
Арганізацыя беларускіх нацыяналістаў (АБН) — беларуская нелегальная канспірацыйная арганізацыя, мэтай якой было адраджэнне беларускай дзяржаўнасці хаця б у межах супольнай беларуска-польскай федрацыі.	Арганізацыя беларускіх нацыяналістаў (АБН) — беларуская нелегальная кансьпірацыйная арганізацыя, мэтай якой было адраджэньне беларускай дзяржаўнасьці хаця б у межах супольнай беларуска-польскай фэдэрацыі.	Арганізацыя беларускіх нацыяналістаў	4322490	Арганізацыя беларускіх нацыяналістаў	2214736	0.810
Паводле некаторых звестак, у 1942 годзе АБН налічвала 500 чалавек.	Паводле некаторых зьвестак, у 1942 годзе АБН налічвала 500 чалавек.	Арганізацыя беларускіх нацыяналістаў	4322490	Арганізацыя беларускіх нацыяналістаў	2214736	0.875
АБН вяла перамовы з польскай падпольнай Арміяй Краёвай аб супрацоўніцтве, «польска-беларускай федэрацыі» і нават аб стварэнні беларуска-польскіх партызанскіх аддзелаў.	АБН вяла перамовы з польскай падпольнай Арміяй Краёвай аб супрацоўніцтве, «польска-беларускай фэдэрацыі» й нават аб стварэньні беларуска-польскіх партызанскіх аддзелаў.	Арганізацыя беларускіх нацыяналістаў	4322490	Арганізацыя беларускіх нацыяналістаў	2214736	0.842
Аднак кантакты з польскім супрацівам не далі ніякага выніку.	Аднак кантакты з польскім супрацівам ня далі ніякага выніку.	Арганізацыя беларускіх нацыяналістаў	4322490	Арганізацыя беларускіх нацыяналістаў	2214736	0.889
У 1943 годзе АБН увайшла ў падпольнае Беларускае нацыянальна-дэмакратычнае аб’яднанне (БНДА) ды была ў ім галоўнай сілай.	У 1943 годзе АБН увайшла ў падпольнае Беларускае Нацыянальна-Дэмакратычнае Аб’яднаньне (БНДА) ды была ў ім галоўнай сілай.	Арганізацыя беларускіх нацыяналістаў	4322490	Арганізацыя беларускіх нацыяналістаў	2214736	0.938
Пасля гібелі ў снежні 1943 года ў Менску Вацлава Іваноўскага і выезду ў Чэхію Янкі Станкевіча, АБН-БНДА фактычна спыніла сваё існаванне.	Па гібелі ў сьнежні 1943 году ў Менску Вацлава Іваноўскага й выезду ў Чэхію Янкі Станкевіча, АБН-БНДА фактычна спыніла сваё існаваньне.	Арганізацыя беларускіх нацыяналістаў	4322490	Арганізацыя беларускіх нацыяналістаў	2214736	0.750
Многія сябры арганізацыі, якія працавалі ў грамадзянскай адміністрацыі і школьніцтве, летам 1944 года падаліся на Захад.	Многія сябры арганізацыі, якія працавалі ў цывільнай адміністрацыі й школьніцтве, улетку 1944 году падаліся на Захад.	Арганізацыя беларускіх нацыяналістаў	4322490	Арганізацыя беларускіх нацыяналістаў	2214736	0.733
Яе дзед быў заможным фермерам, але ж яго багатая спадчына была канфіскаваная камуністычным рэжымам.	Яе дзед быў заможным фэрмэрам, але ж яго багатая спадчына была канфіскаваная камуністычным рэжымам.	Герта Мюлер	5110054	Герта Мюлер	2620832	0.929
Яе галоўная тэма — досвед перажытай несвабоды і гвалту, індывідуальная і калектыўная памяць, выцясненне з памяці, амнезія, нежаданне памятаць.	Яе галоўная тэма — досьвед перажытай несвабоды й гвалту, індывідуальная й калектыўная памяць, выцясьненьне з памяці, амнезія, нежаданьне памятаць.	Герта Мюлер	5110054	Герта Мюлер	2620832	0.722
У 1922 годзе атрымаў прызначэнне ў 1-ы армейскі шпіталь і медыцынскую школу ў Токіа.	У 1922 годзе атрымаў прызначэньне ў 1-ы армейскі шпіталь і мэдыцынскую школу ў Токіё.	Сіра Ісіі	4844473	Сіра Ісіі	1911290	0.769
Праз два гады перайшоў зноў ва ўніверсітэт Кіёта.	Праз два гады перайшоў зваротна ў унівэрсытэт Кіёта.	Сіра Ісіі	4844473	Сіра Ісіі	1911290	0.625
У 1936 годзе ля Харбіна быў разгорнуты лагер Атрада 731.	У 1936 годзе ля Харбіна быў разгорнуты лягер Атрада 731.	Сіра Ісіі	4844473	Сіра Ісіі	1911290	0.875
Даследаванні былі засакрэчаны, і для адводу вачэй атрад займаўся пошукамі ў галіне абеззаражання вады. 9 лютага 1939 года ў Токіа Сіра прачытаў лекцыю аб бактэрыялагічнай зброі ў вялікай канферэнц-зале ваеннага міністэрства.	Дасьледаваньні былі засакрэчаныя, і для атводу вачэй атрад займаўся пошукамі ў галіне абеззаражаньня вады. 9 лютага 1939 году ў Токіё Сіра прачытаў лекцыю аб бактэрыялягічнай зброі ў вялікай канфэрэнц-зале ваеннага міністэрства.	Сіра Ісіі	4844473	Сіра Ісіі	1911290	0.724
Таксама перад гледачамі была праведзена вівісекцыя.	Таксама перад гледачамі была праведзена вівісэкцыя.	Сіра Ісіі	4844473	Сіра Ісіі	1911290	0.833
З 1940 года Сіра быў прызначаны начальнікам упраўлення біялагічнай зброі Квантунскай арміі, таксама працаваў у бактэрыялагічным дэпартаменце Ваенна-медыцынскай акадэміі.	З 1940 году Сіра быў прызначаны начальнікам упраўленьня біялягічнае зброі Квантунскае арміі, таксама працаваў у бактэрыялягічным дэпартамэнце Ваенна-мэдыцынскае акадэміі.	Сіра Ісіі	4844473	Сіра Ісіі	1911290	0.611
У 1942 годзе пачаліся выпрабаванні бактэрыялагічнай зброі, для якіх выкарыстоўваліся кітайскія ваеннапалонныя і мірныя жыхары.	У 1942 годзе пачаліся выпрабаваньні бактэрыялягічнае зброі, для якіх выкарыстоўваліся кітайскія ваеннапалонныя й мірныя жыхары.	Сіра Ісіі	4844473	Сіра Ісіі	1911290	0.786
У выніку Сіра так і не быў пакараны за ваенныя злачынствы.	У выніку Сіра так і ня быў пакараным за ваенныя злачынствы.	Сіра Ісіі	4844473	Сіра Ісіі	1911290	0.818
Паводле выказванняў яго дачкі Харумі, Сіра памёр у Японіі ад раку горла.	Паводле высказваньняў ягонае дачкі Харумі, Сіра памёр у Японіі ад раку горла.	Сіра Ісіі	4844473	Сіра Ісіі	1911290	0.833
Сачанка (гал. рэд.) і інш.; Маст.	Пашкоў (гал. рэд.) і інш.; Маст.	Скідзель	5188384	Скідзель	2651837	0.833
Увосень 2014 года, дзякуючы траўме Удожы, вярнуўся ў асноўны склад.	Увосень 2014 году, дзякуючы траўме Ўдожы, вярнуўся ў асноўны склад.	Эрнан Фігерэда	4917334	Эрнан Фігерэда	2626799	0.778
Да асноўнага круглага ў плане аб’ёму прылягаюць больш нізкія прамавугольныя ў плане аб’ёмы: прытвор з чатырохкалонным порцікам на галоўным фасадзе і двухпавярховая сакрысція па восі ўсход-захад, невялікія рызаліты з поўдня і воўначы.	Да асноўнага круглага ў пляне аб’ёму далучаюцца больш нізкія прастакутныя ў пляне аб’ёмы: прытвор з 4-калённым портыкам на галоўным фасадзе і 2-павярховая закрысьція на восі ўсход-захад, невялікія рызаліты з поўдня і поўначы.	Свята-Міхайлаўскі сабор (Ліда)	4746705	Касьцёл Сьвятога Язэпа і кляштар піяраў (Ліда)	2548832	0.688
У дэкоры фасадаў выкарыстаны дарычны ордар.	У дэкоры фасадаў выкарыстоўваецца дарычны ордэр.	Свята-Міхайлаўскі сабор (Ліда)	4746705	Касьцёл Сьвятога Язэпа і кляштар піяраў (Ліда)	2548832	0.667
«А-100» — беларускае прадпрыемства, заснаванае ў жніўні 1994 года ў Мінску.	«А-100» — беларускае прадпрыемства, заснаванае ў жніўні 1994 году ў Менску.	А-100 (кампанія)	4792806	А-100	2386827	0.778
У 1995 г. адчынілі першую стацыянарную АЗС і павялічылі аўтапарк да 9 бензавозаў.	У 1995 г. адкрылі першую стацыянарную АЗС і павялічылі аўтапарк да 9 бэнзавозаў.	А-100 (кампанія)	4792806	А-100	2386827	0.818
Назву «А-100» прадпрыемства атрымала ад актанавага ліку 100, які мае авіяцыйнае паліва.	Назоў «А-100» прадпрыемства атрымала ад актанавага ліку 100, які мае авіяцыйнае паліва.	А-100 (кампанія)	4792806	А-100	2386827	0.909
У 1996 г. «А-100» пачало прымаць да аплаты электронныя карты «Берліо» і выпускаць уласныя паліўныя талоны.	У 1996 г. «А-100» пачало прымаць да аплаты электронныя карты «Берліо» і выпускаць уласныя паліўныя талёны.	А-100 (кампанія)	4792806	А-100	2386827	0.933
У 1997 г. запраўкі «А-100» першымі ў Беларусі абзавяліся пыласосамі для вадзіцелей.	У 1997 г. запраўкі «А-100» першымі ў Беларусі абзавяліся пыласосамі для кіроўцаў.	А-100 (кампанія)	4792806	А-100	2386827	0.909
У 2000 г. таксама ўпершыню ў краіне «А-100» узвяла газазаправачную станцыю і пачала прапаноўваць паслугі аўтаматычнай мыйкі самаходаў.	У 2000 г. таксама ўпершыню ў краіне «А-100» узьвяла газазаправачную станцыю і пачала прапаноўваць паслугі аўтаматычнай мыйкі самаходаў.	А-100 (кампанія)	4792806	А-100	2386827	0.941
АЗС пачалі абсталёўваць аўтаматычнымі мыйнямі, кампрэсарамі для падпампоўвання шынаў і шматхуткаснымі палівараздатачнымі калонкамі.	АЗС пачалі абсталёўваць аўтаматычнымі мыйнямі, кампрэсарамі для падпампоўваньня шынаў і шматхуткаснымі палівараздатачнымі калёнкамі.	А-100 (кампанія)	4792806	А-100	2386827	0.846
Адначасна стварылі даччынае будаўнічае прадпрыемства «А-100 Дэвелапмент».	Адначасна стварылі даччынае будаўнічае прадпрыемства «А-100 Дэвэлапмэнт».	А-100 (кампанія)	4792806	А-100	2386827	0.857
У 2003 г. на АЗС увялі электронны нагляд за колькасцю паліва ў рэзервуарах.	У 2003 г. на АЗС увялі электронны нагляд за колькасьцю паліва ў рэзэрвуарах.	А-100 (кампанія)	4792806	А-100	2386827	0.833
Сонечная кавярня), якая на 2009 г. налічвала 7 страўняў з пераважным размяшчэннем пры АЗС.	Сонечная кавярня), якая на 2009 г. налічвала 7 страўняў зь пераважным разьмяшчэньнем пры АЗС.	А-100 (кампанія)	4792806	А-100	2386827	0.833
У канцы 2005 г. пачалося будаўніцтва новай галоўнай сядзібы прадпрыемства ў в.	Пры канцы 2005 г. пачалося будаўніцтва новай галоўнай сядзібы прадпрыемства ў в.	А-100 (кампанія)	4792806	А-100	2386827	0.909
Баравая (Мінскі раён), якую ўзвялі ў 2007 годзе.	Баравая (Менскі раён), якую ўзьвялі ў 2007 годзе.	А-100 (кампанія)	4792806	А-100	2386827	0.714
У 2006 г. пачалося ўзвядзенне 15 шматпавярховых дамоў у квартале «Зялёны Бор» (пасёлак Лясны, Мінскі раён), дзе прадалі 4064 кватэры.	У 2006 г. пачалося ўзьвядзеньне 15 шматпавярховых дамоў у квартале «Зялёны Бор» (пасёлак Лясны, Менскі раён), дзе прадалі 4064 кватэры.	А-100 (кампанія)	4792806	А-100	2386827	0.882
Тамсама рассялілі 15% супрацоўнікаў. 21% кватэр збылі за першы месяц ад пачатку продажаў.	Тамсама расьсялілі 15% супрацоўнікаў. 21% кватэраў збылі за першы месяц ад пачатку продажаў.	А-100 (кампанія)	4792806	А-100	2386827	0.818
У 2007 г. на АЗС з’явілася паслуга арэнды прычэпа.	У 2007 г. на АЗС зьявілася паслуга арэнды прычэпа.	А-100 (кампанія)	4792806	А-100	2386827	0.875
У 2008 г. — паслуга афармлення аўтастрахоўкі.	У 2008 г. — паслуга афармленьня аўтастрахоўкі.	А-100 (кампанія)	4792806	А-100	2386827	0.800
За 2010—2014 гг. на АЗС «А-100» прадалі 492,4 млн літраў бензіну.	За 2010—2014 гг. на АЗС «А-100» прадалі 492,4 млн літраў бэнзіна.	А-100 (кампанія)	4792806	А-100	2386827	0.889
У 2011 г. 175 тыс. аўтамабілістаў Мінска з 600 тыс. (29%) карысталіся аўтамыйкамі на АЗС «А-100».	У 2011 г. 175 тыс. аўтамабілістаў Менску з 600 тыс. (29%) карысталіся аўтамыйнямі на АЗС «А-100».	А-100 (кампанія)	4792806	А-100	2386827	0.833
У 2013 г. колькасць карыстальнікаў аўтамыек у Мінску вырасла да 350 тыс. з 1 млн аўтамабілістаў (35%).	У 2013 г. лік карыстальнікаў аўтамыйняў у Менску вырас да 350 тыс. з 1 млн аўтамабілістаў (35%).	А-100 (кампанія)	4792806	А-100	2386827	0.692
У красавіку «А-100» набыў брэсцкую сетку «Галон» у складзе 4 АЗС.	У красавіку «А-100» набыў берасьцейскую сетку «Галон» у складзе 4 АЗС.	А-100 (кампанія)	4792806	А-100	2386827	0.900
Тады ж адчынілі ўласны верталётны клуб «Авія-100» і прадставілі першы ў Беларусі электрамабіль.	Тады ж адкрылі ўласны верталётны клюб «Авія-100» і прадставілі першы ў Беларусі электрамабіль.	А-100 (кампанія)	4792806	А-100	2386827	0.846
